"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2004,6,"6","Kreis 6",0,"00","Grundtarif",42.5,20.9,66.15
2004,6,"6","Kreis 6",1,"01","Verheiratetentarif",78.7,53,121.8
2004,6,"6","Kreis 6",2,"02","Einelternfamilientarif",46,26.65,70.85
2004,7,"7","Kreis 7",0,"00","Grundtarif",44.7,19.5,72.9
2004,7,"7","Kreis 7",1,"01","Verheiratetentarif",101.6,63.5,174
2004,7,"7","Kreis 7",2,"02","Einelternfamilientarif",57.85,33.1,92.7
2004,8,"8","Kreis 8",0,"00","Grundtarif",45.1,20.8,70.6
2004,8,"8","Kreis 8",1,"01","Verheiratetentarif",88,58.1,139.9
2004,8,"8","Kreis 8",2,"02","Einelternfamilientarif",49.2,30.4,72.8
2004,9,"9","Kreis 9",0,"00","Grundtarif",36.3,19.5,53.5
2004,9,"9","Kreis 9",1,"01","Verheiratetentarif",62.5,45.4,85.45
2004,9,"9","Kreis 9",2,"02","Einelternfamilientarif",36.6,21.1,52.3
2004,10,"10","Kreis 10",0,"00","Grundtarif",42,20.9,62.3
2004,10,"10","Kreis 10",1,"01","Verheiratetentarif",74.5,52.3,108.9
2004,10,"10","Kreis 10",2,"02","Einelternfamilientarif",42.7,25.8,60.5
2004,11,"11","Kreis 11",0,"00","Grundtarif",36,18.4,54.4
2004,11,"11","Kreis 11",1,"01","Verheiratetentarif",64.2,44.3,88.7
2004,11,"11","Kreis 11",2,"02","Einelternfamilientarif",36.5,18.8,53.7
2004,12,"12","Kreis 12",0,"00","Grundtarif",30.3,15.8,45
2004,12,"12","Kreis 12",1,"01","Verheiratetentarif",57.4,40.6,75.8
2004,12,"12","Kreis 12",2,"02","Einelternfamilientarif",31.6,15.9,45.05
2005,1,"1","Kreis 1",0,"00","Grundtarif",43.9,17.3,76.1
2005,1,"1","Kreis 1",1,"01","Verheiratetentarif",99.1,61.8,159.7
2005,1,"1","Kreis 1",2,"02","Einelternfamilientarif",49.18,32,85.1
2005,2,"2","Kreis 2",0,"00","Grundtarif",40.7,19.9,64
2005,2,"2","Kreis 2",1,"01","Verheiratetentarif",77.5,52.7,118.8
2005,2,"2","Kreis 2",2,"02","Einelternfamilientarif",43.1,23.9,68.7
2005,3,"3","Kreis 3",0,"00","Grundtarif",36.9,18.5,56.6
2005,3,"3","Kreis 3",1,"01","Verheiratetentarif",60.9,41.2,85.4
2005,3,"3","Kreis 3",2,"02","Einelternfamilientarif",37.75,19.8,54.7
2005,4,"4","Kreis 4",0,"00","Grundtarif",32.7,15.6,52.1
2005,4,"4","Kreis 4",1,"01","Verheiratetentarif",52.6,33.7,73.1
2005,4,"4","Kreis 4",2,"02","Einelternfamilientarif",30.65,12.85,47.8
2005,5,"5","Kreis 5",0,"00","Grundtarif",40,19.7,61
2005,5,"5","Kreis 5",1,"01","Verheiratetentarif",58.35,39.65,83.6
2005,5,"5","Kreis 5",2,"02","Einelternfamilientarif",39.9,24,54.95
2005,6,"6","Kreis 6",0,"00","Grundtarif",43.1,21.4,67.3
2005,6,"6","Kreis 6",1,"01","Verheiratetentarif",80.3,53.3,125.2
2005,6,"6","Kreis 6",2,"02","Einelternfamilientarif",44.2,25.8,67.8
2005,7,"7","Kreis 7",0,"00","Grundtarif",45.9,19.9,74.1
2005,7,"7","Kreis 7",1,"01","Verheiratetentarif",105.65,64.6,179.9
2005,7,"7","Kreis 7",2,"02","Einelternfamilientarif",56.45,35,92
