"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",4,"Stadtquartiere",101,"Höngg",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.51,21.54,23.47,16.37,15.02,17.59,18.23,17.58,19.53,21.2,19.76,23.22,25.65,23.76,27.55,31.25,27.43,33.54,1776,380,38
2024,"2024.04",4,"Stadtquartiere",101,"Höngg",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",21.82,20.99,22.65,15.35,14.28,16.58,17.98,17.05,19.37,21.97,20.58,22.61,25,24.12,25.82,28.92,26.21,31.71,1768,380,67
2022,"2022.04",4,"Stadtquartiere",101,"Höngg",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.78,22.68,24.89,15.9,15.37,17.24,19.2,18.12,19.54,22.76,21.26,24.17,27.15,26.23,28.15,31.99,28.86,34.32,5907,1275,104
2024,"2024.04",4,"Stadtquartiere",101,"Höngg",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.64,23.1,24.18,16.52,15.99,17.17,19.36,18.76,20.16,23.28,22.57,24.14,27.14,26.36,27.9,30.81,29.99,32.52,5877,1267,170
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",16.07,15.75,16.39,11.58,11.18,12.2,13.89,13.32,14.58,15.9,15.33,16.49,18.38,17.53,18.82,20.01,19.54,20.84,699,423,32
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",17.5,17.09,17.9,12.65,12.4,13.41,15.25,14.4,15.84,16.89,16.63,17.71,19.57,19.02,20.59,22,21.25,23.04,716,438,27
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.29,13.68,14.89,10.65,10.43,10.78,11.71,11.22,12.25,13.43,12.79,13.75,16.77,15.52,17.94,18.97,17.94,20.23,1116,653,23
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.59,14.09,15.08,10.9,10.43,11.97,12.54,12.06,12.77,13.67,13.17,14.43,16.12,15.47,17.25,18.91,18.47,19.72,1116,643,23
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.03,13.57,14.49,10.36,9.99,10.6,11.07,10.75,11.48,13.77,12.76,14.89,16.73,15.99,17.41,18.31,17.94,18.73,523,262,30
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.02,14.62,15.42,11.51,11.31,11.72,12.13,11.72,12.92,15.39,14.69,15.53,17.09,16.35,17.84,18.88,18.86,19.45,517,262,29
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.77,14.44,15.09,10.72,10.46,10.76,11.86,11.46,12.25,14.41,13.67,15.12,17.34,16.77,17.87,19.28,18.58,19.81,2338,1338,85
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.57,15.29,15.85,11.51,10.97,11.82,12.79,12.64,13.1,15.32,14.83,15.58,17.72,17.29,18.2,20.52,19.61,21.33,2349,1343,79
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",29.32,26.74,31.89,17.61,16.74,24.9,24.91,22.26,26.28,26.75,26,29.46,33.67,29.46,35.03,42.11,33.89,52.78,1339,139,37
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",27.92,26.58,29.26,20.38,18.26,22.33,23.14,21.68,24.4,26.81,25.3,28.3,32.53,29.74,34.96,35.82,35.2,40.15,1341,133,52
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.2,21.64,24.76,12.44,12.01,18.74,19.12,17.88,20.41,21.97,21.24,23.96,27.55,24.45,28.46,32.22,28.01,41.61,2284,313,43
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",25.57,24.16,26.97,16.84,15.79,18.99,19.8,18.3,22.62,24.95,23.15,26.32,29.28,27.18,31.66,34.38,30.41,40.01,2247,237,54
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.81,21.36,24.25,13.81,12.42,17.9,17.93,16.65,20.89,22,20.06,25.26,26.22,25.27,29.38,31.95,29.03,35.9,876,116,32
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.62,22.22,25.01,15.27,13.45,17.95,19.04,17.85,20.02,23.64,21.16,25.37,28.68,25.63,30.92,33.34,29.53,35.13,859,70,52
2022,"2022.04",4,"Stadtquartiere",102,"Wipkingen",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",24.95,23.81,26.08,14.17,12.45,17.58,19.63,18.11,20.72,24.26,23.04,25.72,28.47,27.6,30.52,33.93,32.22,41.25,4499,568,112
2024,"2024.04",4,"Stadtquartiere",102,"Wipkingen",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",25.9,25.04,26.76,17.77,15.94,18.65,20.77,19.65,22.52,25.04,24.01,26.28,29.97,28.68,31.59,35.22,33.04,36.15,4447,440,158
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.61,15.28,15.95,12.42,12.01,13.46,13.8,13.57,14.46,15.73,15.14,15.97,16.99,16.5,17.27,19.63,17.78,20.02,740,421,30
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",17.08,16.37,17.78,12.17,11.28,13.46,14.88,13.46,15.79,17.34,16.85,17.7,18.8,18.15,19.6,21.6,19.6,21.85,804,426,28
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.73,15.34,16.13,12.9,12.71,13.14,13.61,13.42,13.65,14.96,14.58,15.32,16.97,16.65,17.82,20.04,20.04,21.45,1547,1049,46
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",16.58,16.22,16.95,13.24,12.94,13.61,14.31,14.1,14.53,15.92,15.49,16.36,18.71,17.63,19.71,20.64,20.64,21.95,1589,1024,45
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.35,14.09,14.61,11.58,11.2,11.85,12.78,12.62,13.01,14.04,13.85,14.17,15.54,15.22,15.81,18.19,16.49,20,1452,921,51
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.53,15.2,15.87,12.6,12.48,12.76,13.73,13.58,14.11,14.82,14.55,15.05,16.96,16.44,17.32,19.76,18.09,20.63,1442,853,46
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.17,14.97,15.38,12.15,11.99,12.48,13.4,13.29,13.49,14.5,14.37,14.72,16.49,16.33,16.64,20,19.71,20.04,3739,2391,127
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",16.29,16.05,16.54,12.86,12.58,13.14,14.09,13.88,14.24,15.71,15.43,16.11,18.03,17.62,18.32,20.64,20.64,21.64,3835,2303,119
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.39,22.05,24.72,16.26,15.86,17.63,17.92,16.63,20.12,22.99,20.57,25.21,27.78,25.68,28.36,31.5,28.17,35.51,1283,331,33
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",25,24.14,25.85,16.2,14.82,18.51,20.75,19,22.05,25.35,23.88,26.33,30.34,28.17,32.16,32.96,32.2,33.57,1266,285,50
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",20.38,19.62,21.13,15.08,14.76,16.3,17.09,16.3,18.06,20.62,18.72,21.75,23.21,22.97,23.69,25.62,23.52,29.15,2359,636,37
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.3,21.39,23.22,15.49,12.06,17.06,18.22,17.32,19.53,22.43,21.14,23.02,25.9,24.9,26.88,28.93,26.88,31.78,2286,550,53
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",18.62,17.7,19.53,13.46,12.58,15.13,16.2,14.25,17.13,18.56,17.33,20.33,21.82,20.44,22.06,23.9,21.92,26.56,1482,430,30
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",19.66,19,20.33,13.39,12.58,16.12,16.93,15.95,17.7,19.52,18.53,19.97,21.97,21.06,22.68,24.13,22.58,25.69,1433,350,47
2022,"2022.04",4,"Stadtquartiere",111,"Affoltern",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",20.62,20.07,21.17,15.03,13.85,15.86,17.07,16.4,17.78,20.18,19.13,21.28,23.26,22.99,24.55,26.81,25.29,28.48,5124,1397,100
2024,"2024.04",4,"Stadtquartiere",111,"Affoltern",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.23,21.72,22.74,14.91,13.91,16.24,18.15,17.33,18.92,21.95,21.37,22.54,25.77,25.07,26.48,30.67,28.91,32.19,4985,1185,150
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.33,14.76,15.9,11.39,11.11,11.82,12.65,12.16,13.06,14.21,13.94,14.44,16.8,16.1,17.51,21.21,18.55,22.24,320,220,29
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",17.05,15.94,18.16,13.05,12.28,13.55,13.94,13.6,14.33,15.39,15.16,16.1,18.76,17.45,19.92,24.13,19.77,25.46,337,238,13
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.51,14.19,14.82,12.21,12.07,12.35,12.72,12.58,12.95,13.65,13.38,14.11,15.84,15.27,17.13,17.85,17.48,18.35,558,413,20
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.83,15.52,16.15,13.14,13.06,13.38,13.94,13.8,14.04,14.81,14.59,15.08,17.46,16.47,17.99,20.39,19.1,21.31,591,479,18
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",12.91,12.33,13.48,9.35,8.82,10.51,11.39,10.85,11.61,12.34,12.11,12.63,14.25,13.49,14.84,17.82,15.02,18.72,463,335,19
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.87,14.41,15.33,12.05,11.61,12.22,12.45,12.36,12.69,13.83,13.55,14.06,16.52,15.63,18.67,19.7,18.8,21.25,475,357,17
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.15,13.88,14.43,11.16,10.85,11.46,12.2,12.06,12.31,13.35,13.19,13.55,15.52,15.23,16.1,18.11,17.81,18.82,1341,968,68
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.8,15.46,16.13,12.34,12.27,12.45,13.54,13.42,13.62,14.62,14.46,14.91,17.59,16.94,18.32,20.42,19.73,21.45,1403,1074,48
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",27.26,26.03,28.48,20.97,17.68,22.18,23.27,22.09,24.14,25.4,24.67,27.12,30.51,28.33,32.5,35.62,32.04,39,2522,473,46
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",27.7,26.71,28.7,18.68,17.85,19.37,22.02,20.37,22.94,26.93,26.1,28.7,32.71,31.17,34.55,37.51,34.61,38.87,2408,500,64
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.96,21.95,23.98,15.95,11.43,18.07,19.22,17.9,21.08,22.24,21.37,23.46,26.67,24.41,27.76,32.15,27.67,34.26,3418,562,46
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",24.51,23.62,25.4,16.55,16.11,19.27,20.33,19.75,21.51,24.34,23.01,24.78,28.43,27.59,29.52,31.76,29.67,33.49,3186,569,63
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",19.78,18.76,20.8,13.68,11.96,15.76,16.76,15.59,17.7,19.26,18.22,19.89,21.56,20.69,23,26.13,22.9,32.2,1669,383,44
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.59,21.68,23.5,16.44,14.81,17.05,18.99,17.31,20.15,23.33,22.61,24.53,25.88,25.08,28.57,29.66,26.99,30.84,1570,385,52
2022,"2022.04",4,"Stadtquartiere",115,"Oerlikon",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.69,23.04,24.33,16.23,14.87,17.63,19.29,18.16,20.18,22.98,22.12,23.65,27.45,26.05,28.33,32.46,30.63,34.29,7609,1418,136
2024,"2024.04",4,"Stadtquartiere",115,"Oerlikon",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",25.16,24.61,25.71,17.3,16.53,18.39,20.35,19.97,21.25,24.72,23.99,25.03,29.34,28.54,30.2,33.49,31.96,34.61,7164,1454,179
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",16.63,16.14,17.12,12.04,11.93,12.18,13.45,13.14,13.71,16.33,15.87,16.53,18.78,18.16,19.07,20.54,20.19,21.54,480,369,21
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",17.49,17.15,17.83,12.11,11.94,12.17,14.37,14.09,14.59,16.8,16.64,17.46,19.65,19.37,19.88,21.67,21.52,23.84,521,418,19
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",13.98,13.64,14.32,11.03,10.83,11.3,12.17,12,12.43,13.33,12.94,13.73,15.71,15.01,16.67,17.89,16.97,18.23,1054,757,23
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.18,14.89,15.48,11.49,11.4,11.67,12.62,12.41,12.81,14.59,14.09,14.88,17.62,17.04,17.84,19.82,18.87,20.19,1055,818,29
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",13.5,13.18,13.82,10.33,10.15,10.62,11.63,11.63,12.01,13.32,13.04,13.53,15,14.7,15.17,17.29,16.66,17.83,853,593,36
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.35,14.19,14.52,10.42,10.27,10.62,12.34,12.12,12.52,14.31,14.11,14.46,16.28,16.06,16.53,17.89,17.61,18.52,849,675,31
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.34,14.13,14.56,10.81,10.7,11,12.05,12.02,12.31,13.61,13.43,13.9,16.36,15.77,16.72,18.23,18.23,18.77,2387,1719,80
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.38,15.22,15.54,11.27,11.15,11.4,12.67,12.56,12.84,14.9,14.75,15.08,17.64,17.43,17.82,19.83,19.47,20.12,2425,1911,79
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",24.17,23.32,25.01,17.38,16.21,19.11,19.62,19.11,21.41,23.68,22.61,25.01,27.89,27.18,29.41,30.55,29.09,33.14,1857,377,40
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",26.73,25.75,27.71,17.61,15.39,18.76,20.99,19.47,22.82,26.1,24.61,27.88,31.66,30.2,33.39,37.19,34.43,38.73,2024,384,57
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",21.73,20.93,22.53,16.26,14.09,17.64,18.69,17.86,19.69,21.15,20.58,22.42,24.71,23.7,25.47,28.1,25.34,30.58,3013,603,54
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.83,22.12,23.55,16.55,15.7,17.64,18.87,18.36,20,22.9,21.96,23.86,26.59,25.9,27.28,29.01,27.71,30.94,3030,573,80
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",20.49,19.68,21.3,15.96,14.58,17.29,17.45,16.66,17.84,19.64,18.09,20.85,22.17,21.23,23.14,28.06,23.22,28.56,1591,398,43
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.12,20.92,23.33,15.18,14.86,17.29,17.67,16.43,18.98,21.02,19.46,22.37,24.02,23.27,26.99,29.98,26.99,33.47,1552,322,52
2022,"2022.04",4,"Stadtquartiere",119,"Seebach",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.12,21.64,22.61,16.49,15.2,17.3,18.53,17.86,19.29,21.36,20.91,22.31,25,24.28,26.08,28.86,27.89,29.88,6461,1378,137
2024,"2024.04",4,"Stadtquartiere",119,"Seebach",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.86,23.33,24.39,16.32,15.65,17.1,18.86,18.36,19.59,23.14,22.55,23.85,27.52,26.7,28.39,32.73,31.29,34.71,6606,1279,189
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.36,15.08,15.65,11.13,11.02,11.3,12.29,12.11,12.68,15.06,14.83,15.5,17.28,17.18,17.68,20.13,19.37,20.84,1355,962,59
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",16.05,15.88,16.21,11.87,11.79,11.95,13.36,13.19,13.59,16.35,16.07,16.64,18.17,17.88,18.5,19.6,19.23,19.94,1396,952,51
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",13.51,13.37,13.66,9.86,9.8,9.93,10.64,10.58,10.92,12.87,12.72,13.02,16.08,15.82,16.42,17.74,17.53,17.83,2932,2025,88
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.54,14.39,14.68,10.45,10.36,10.56,11.87,11.78,12.05,14.27,13.94,14.61,17.1,16.82,17.29,18.54,18.27,18.86,3035,2003,91
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",13.35,13.14,13.55,8.77,8.67,9.32,11,10.28,11.52,13.58,12.97,13.77,15.85,15.77,16.01,17.29,17.1,17.89,2104,1302,73
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.31,14.06,14.56,10.07,9.85,11.1,12.46,11.91,12.87,14.47,14.1,14.74,16.41,16.04,16.72,17.64,17.3,18.12,2158,1240,73
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",13.85,13.74,13.97,9.74,9.68,9.94,11.29,11.15,11.41,13.46,13.25,13.66,16.33,16.16,16.47,18,17.84,18.19,6391,4289,220
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.78,14.67,14.9,10.55,10.36,10.84,12.32,12.14,12.52,14.7,14.58,14.96,17.18,16.99,17.33,18.66,18.41,18.8,6589,4195,215
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.7,22.71,24.69,16.69,14.46,18.88,20.27,19.28,22.32,24.21,23.2,25,26.56,25.96,28.61,30.91,28.32,33.1,1713,426,64
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",24.22,23.34,25.1,17.4,15.52,18.33,20,19.37,22.14,24.35,23.17,25.49,28.01,26.94,29.3,31.38,29.85,32.87,1626,385,105
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",20,19.41,20.59,14.34,13.67,16.5,17.5,16.69,18.63,20.29,19.41,21.41,22.66,22.17,23.33,24.35,23.54,25,2933,582,93
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",21.55,20.98,22.11,14.6,12.37,15.95,18.6,17.59,19.55,21.83,21.07,22.77,25,24.11,25.55,27.16,26.4,29.02,2752,504,132
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",19.07,18.46,19.68,12.84,11.26,13.2,14.9,14.09,16.59,18.47,17.36,19.57,22,20.99,23.26,25.55,23.67,28.41,1107,274,68
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",19.9,19.41,20.39,13.84,12.98,14.96,16.98,15.99,17.78,19.83,19.23,20.42,22.28,21.84,23.19,25.03,24.1,26.12,1000,256,106
2022,"2022.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",20.92,20.49,21.36,14.11,13.69,15.46,17.43,17.02,18.36,21.18,20.27,21.72,23.8,23.47,24.51,26.66,25.96,28.46,5753,1282,225
2024,"2024.04",4,"Stadtquartiere",129,"Schwamendingen (Kreis 12)",9,"2 , 3  und 4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.05,21.65,22.45,14.73,14.17,15.9,18.59,17.96,19.22,22.13,21.63,22.35,25.49,25,26.22,28.89,27.58,29.63,5378,1145,343
2022,"2022.04",4,"Stadtquartiere",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",2,"Brutto",1055,1046,1063,718,709,731,829,819,834,1000,986,1013,1212,1200,1225,1447,1424,1473,11106,7184,492
2024,"2024.04",4,"Stadtquartiere",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",2,"Brutto",1134,1124,1143,783,776,796,907,897,916,1087,1077,1102,1288,1274,1305,1525,1503,1559,11437,7442,463
2022,"2022.04",4,"Stadtquartiere",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",2,"Brutto",1181,1172,1190,798,795,807,919,913,927,1101,1093,1113,1369,1359,1380,1654,1630,1670,22955,14636,597
2024,"2024.04",4,"Stadtquartiere",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",2,"Brutto",1268,1262,1275,885,877,889,1015,1007,1022,1196,1188,1207,1465,1452,1482,1702,1684,1727,23071,15117,620
2022,"2022.04",4,"Stadtquartiere",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",2,"Brutto",1517,1509,1526,1031,1025,1034,1208,1191,1227,1469,1450,1483,1777,1763,1795,2020,1994,2054,14925,9288,606
