"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",962,948,977,633,625,644,737,724,750,903,885,913,1125,1111,1155,1366,1323,1400,4894,3127,218
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1030,1015,1045,682,673,695,801,785,816,974,961,991,1192,1165,1221,1448,1380,1495,5113,3320,217
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1079,1066,1093,687,678,694,790,781,808,998,990,1024,1288,1262,1311,1547,1528,1576,9305,5902,269
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1148,1138,1159,745,739,755,867,853,886,1081,1062,1105,1338,1313,1380,1600,1566,1633,9363,6111,261
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1427,1412,1442,877,860,890,1087,1067,1116,1425,1400,1449,1711,1693,1733,1950,1943,1981,6042,3709,243
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1515,1500,1530,940,917,979,1196,1177,1220,1488,1470,1509,1775,1751,1803,2043,2000,2089,5895,3653,228
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1600,1572,1628,1108,1080,1160,1261,1230,1300,1500,1466,1544,1819,1770,1884,2200,2120,2280,15161,2775,535
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1746,1726,1767,1181,1142,1221,1370,1351,1400,1630,1600,1675,2032,1990,2090,2437,2400,2493,16066,3290,812
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1963,1929,1997,1276,1250,1338,1500,1469,1546,1800,1761,1850,2292,2240,2360,2780,2723,2881,22161,3828,515
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2122,2095,2149,1374,1329,1418,1620,1585,1655,1972,1940,2026,2490,2442,2528,3037,2973,3150,22671,4061,817
